iter	Passed	Remaining
0	3	326
1	5	286
2	8	273
3	10	262
4	13	263
5	16	265
6	19	261
7	22	258
8	25	258
9	28	253
10	30	249
11	33	245
12	36	241
13	38	237
14	41	236
15	44	233
16	46	229
17	49	226
18	52	224
19	55	221
20	57	218
21	60	214
22	62	210
23	65	206
24	67	202
25	69	198
26	72	195
27	74	191
28	76	187
29	78	183
30	80	179
31	82	175
32	84	172
33	87	169
34	89	166
35	91	163
36	94	160
37	96	157
38	98	154
39	101	151
40	103	148
41	104	144
42	107	141
43	109	139
44	112	136
45	114	134
46	117	132
47	120	130
48	123	128
49	126	126
50	130	124
51	132	122
52	135	120
53	138	117
54	139	114
55	141	111
56	144	108
57	146	106
58	148	103
59	151	100
60	153	98
61	155	95
62	158	92
63	160	90
64	163	87
65	165	85
66	168	82
67	170	80
68	173	77
69	175	75
70	177	72
71	180	70
72	182	67
73	185	65
74	187	62
75	189	59
76	191	57
77	193	54
78	195	52
79	198	49
80	200	47
81	203	44
82	206	42
83	208	39
84	211	37
85	213	34
86	215	32
87	218	29
88	220	27
89	223	24
90	225	22
91	227	19
92	230	17
93	232	14
94	233	12
95	236	9
96	238	7
97	240	4
98	243	2
99	245	0
