iter	Passed	Remaining
0	261	261248
1	263	131687
2	265	88334
3	267	66575
4	269	53556
5	270	44838
6	272	38631
7	274	34005
8	277	30510
9	279	27621
10	281	25265
11	283	23347
12	285	21660
13	287	20216
14	288	18962
15	291	17935
16	293	16976
17	295	16106
18	296	15321
19	298	14622
20	300	13993
21	301	13414
22	303	12903
23	306	12446
24	307	12000
25	309	11585
26	310	11198
27	312	10841
28	313	10509
29	315	10201
30	317	9917
31	320	9696
32	322	9438
33	323	9198
34	325	8975
35	327	8757
36	335	8725
37	337	8542
38	339	8356
39	341	8191
40	343	8026
41	344	7865
42	346	7710
43	350	7612
44	352	7471
45	353	7329
46	354	7194
47	356	7064
48	357	6940
49	358	6820
50	360	6709
51	363	6632
52	365	6525
53	366	6420
54	367	6322
55	370	6242
56	371	6148
57	372	6057
58	375	5993
59	377	5908
60	378	5827
61	380	5750
62	381	5676
63	383	5601
64	384	5530
65	385	5460
66	387	5393
67	388	5326
68	390	5275
69	392	5213
70	394	5155
71	395	5099
72	397	5042
73	398	4986
74	400	4933
75	401	4881
76	402	4828
77	405	4796
78	407	4751
79	408	4702
80	410	4654
81	411	4609
82	412	4558
83	413	4514
84	415	4470
85	416	4428
86	419	4407
87	422	4374
88	423	4339
89	427	4322
90	429	4286
91	430	4250
92	432	4215
93	435	4193
94	437	4163
95	439	4136
96	440	4104
97	442	4071
98	443	4037
99	445	4007
100	446	3977
101	449	3960
102	451	3929
103	452	3900
104	454	3869
105	455	3842
106	457	3814
107	458	3787
108	459	3759
109	461	3732
110	465	3730
111	467	3707
112	469	3681
113	470	3658
114	472	3637
115	474	3615
116	475	3589
117	477	3567
118	479	3553
119	481	3529
120	482	3507
121	483	3482
122	485	3460
123	486	3437
124	488	3416
125	489	3395
126	490	3372
127	492	3355
128	494	3337
129	495	3317
130	497	3298
131	498	3279
132	500	3259
133	501	3241
134	504	3234
135	506	3216
136	507	3197
137	508	3179
138	510	3161
139	511	3143
140	513	3127
141	514	3109
142	515	3092
143	517	3078
144	520	3066
145	521	3051
146	523	3036
147	525	3022
148	526	3008
149	528	2993
150	529	2978
151	531	2963
152	533	2955
153	535	2940
154	536	2926
155	538	2913
156	539	2899
157	541	2886
158	543	2875
159	545	2863
160	546	2848
161	548	2836
162	550	2824
163	551	2812
164	555	2809
165	558	2805
166	566	2827
167	569	2819
168	572	2813
169	578	2825
170	584	2835
171	589	2836
172	611	2922
173	615	2922
174	617	2911
175	626	2932
176	628	2922
177	631	2914
178	633	2904
179	635	2893
180	636	2881
181	638	2869
182	642	2867
183	643	2855
184	645	2843
185	647	2831
186	648	2821
187	650	2811
188	653	2803
189	657	2801
190	659	2793
191	661	2781
192	662	2770
193	664	2761
194	666	2752
195	673	2761
196	675	2755
197	678	2746
198	680	2738
199	683	2733
200	687	2731
201	688	2721
202	690	2712
203	692	2701
204	694	2692
205	696	2684
206	698	2674
207	701	2670
208	703	2661
209	704	2651
210	706	2642
211	708	2632
212	710	2624
213	711	2614
214	713	2605
215	717	2603
216	719	2595
217	721	2586
218	723	2580
219	725	2571
220	726	2562
221	729	2557
222	732	2553
223	737	2553
224	739	2548
225	741	2539
226	742	2529
227	744	2520
228	746	2513
229	748	2504
230	750	2497
231	752	2489
232	753	2480
233	754	2470
234	756	2461
235	757	2452
236	759	2443
237	761	2437
238	762	2428
239	764	2419
240	765	2411
241	766	2402
242	768	2393
243	769	2385
244	771	2377
245	772	2368
246	775	2365
247	777	2357
248	778	2348
249	779	2339
250	781	2331
251	782	2323
252	784	2315
253	785	2307
254	786	2299
255	788	2292
256	791	2287
257	792	2279
258	794	2271
259	795	2264
260	797	2257
261	798	2249
262	799	2241
263	801	2234
264	802	2226
265	804	2219
266	805	2211
267	807	2204
268	808	2197
269	810	2190
270	811	2182
271	812	2175
272	814	2168
273	815	2161
274	819	2160
275	821	2153
276	822	2147
277	824	2141
278	825	2134
279	827	2127
280	828	2120
281	840	2140
282	842	2133
283	843	2126
284	845	2120
285	849	2120
286	851	2114
287	852	2108
288	854	2101
289	855	2095
290	857	2088
291	858	2082
292	860	2076
293	862	2070
294	864	2066
295	866	2060
296	867	2054
297	869	2047
298	870	2041
299	872	2035
300	873	2029
301	875	2023
302	877	2018
303	878	2012
304	880	2005
305	881	1999
306	883	1993
307	884	1987
308	886	1981
309	887	1975
310	888	1969
311	890	1963
312	892	1959
313	894	1953
314	895	1948
315	897	1942
316	900	1939
317	901	1933
318	902	1927
319	904	1921
320	905	1915
321	908	1913
322	910	1907
323	911	1902
324	914	1899
325	915	1893
326	917	1887
327	918	1882
328	920	1876
329	922	1873
330	924	1868
331	925	1862
332	927	1857
333	928	1852
334	930	1846
335	931	1840
336	932	1835
337	934	1829
338	936	1825
339	937	1820
340	939	1815
341	940	1810
342	942	1804
343	943	1799
344	944	1793
345	946	1789
346	947	1783
347	949	1778
348	952	1776
349	953	1771
350	955	1765
351	956	1760
352	957	1755
353	959	1750
354	960	1745
355	961	1740
356	963	1734
357	964	1729
358	966	1725
359	968	1721
360	970	1717
361	971	1712
362	972	1707
363	974	1702
364	975	1697
365	977	1692
366	979	1689
367	981	1685
368	982	1680
369	984	1675
370	985	1671
371	986	1666
372	988	1661
373	989	1656
374	991	1652
375	992	1647
376	996	1646
377	998	1642
378	999	1637
379	1000	1633
380	1002	1628
381	1003	1624
382	1005	1619
383	1006	1614
384	1008	1610
385	1010	1607
386	1012	1603
387	1014	1599
388	1015	1595
389	1017	1591
390	1018	1586
391	1019	1581
392	1021	1577
393	1024	1575
394	1025	1570
395	1026	1566
396	1028	1561
397	1029	1557
398	1031	1553
399	1032	1548
400	1033	1544
401	1035	1540
402	1039	1540
403	1041	1537
404	1044	1535
405	1046	1531
406	1049	1528
407	1051	1525
408	1054	1523
409	1056	1520
410	1058	1517
411	1060	1513
412	1062	1509
413	1070	1515
414	1072	1511
415	1074	1508
416	1076	1505
417	1078	1501
418	1079	1496
419	1080	1492
420	1082	1488
421	1085	1486
422	1086	1482
423	1088	1478
424	1089	1474
425	1091	1470
426	1092	1466
427	1094	1462
428	1095	1457
429	1096	1453
430	1098	1450
431	1100	1446
432	1102	1443
433	1103	1439
434	1106	1436
435	1107	1432
436	1109	1428
437	1110	1425
438	1112	1421
439	1114	1418
440	1116	1414
441	1117	1410
442	1118	1406
443	1120	1403
444	1122	1399
445	1123	1395
446	1125	1391
447	1126	1388
448	1128	1385
449	1130	1381
450	1131	1377
451	1133	1374
452	1134	1370
453	1136	1366
454	1137	1362
455	1139	1358
456	1140	1355
457	1142	1351
458	1144	1349
459	1146	1345
460	1147	1342
461	1149	1338
462	1150	1334
463	1151	1330
464	1153	1326
465	1154	1323
466	1156	1319
467	1158	1316
468	1159	1313
469	1161	1309
470	1162	1305
471	1163	1301
472	1165	1298
473	1166	1294
474	1167	1290
475	1169	1287
476	1170	1283
477	1172	1280
478	1174	1277
479	1176	1274
480	1177	1270
481	1178	1266
482	1180	1263
483	1181	1259
484	1183	1256
485	1184	1252
486	1186	1249
487	1188	1247
488	1190	1244
489	1192	1240
490	1194	1238
491	1196	1234
492	1197	1231
493	1199	1228
494	1200	1224
495	1204	1224
496	1207	1221
497	1209	1218
498	1211	1216
499	1213	1213
500	1214	1209
501	1215	1206
502	1218	1203
503	1219	1200
504	1221	1196
505	1222	1193
506	1223	1189
507	1225	1186
508	1226	1183
509	1227	1179
510	1229	1176
511	1232	1174
512	1233	1171
513	1235	1168
514	1236	1164
515	1238	1161
516	1239	1158
517	1240	1154
518	1242	1151
519	1243	1148
520	1245	1145
521	1247	1142
522	1249	1139
523	1250	1135
524	1251	1132
525	1253	1129
526	1254	1126
527	1256	1123
528	1258	1120
529	1259	1116
530	1262	1115
531	1263	1111
532	1265	1108
533	1266	1105
534	1267	1102
535	1269	1098
536	1271	1095
537	1272	1092
538	1273	1089
539	1276	1087
540	1277	1084
541	1279	1081
542	1280	1077
543	1282	1074
544	1283	1071
545	1286	1069
546	1288	1066
547	1291	1065
548	1293	1062
549	1294	1059
550	1296	1056
551	1304	1058
552	1306	1056
553	1308	1053
554	1310	1050
555	1311	1047
556	1313	1044
557	1314	1041
558	1316	1038
559	1319	1037
560	1321	1034
561	1323	1031
562	1324	1028
563	1327	1026
564	1328	1023
565	1330	1020
566	1332	1017
567	1334	1015
568	1336	1012
569	1338	1009
570	1340	1007
571	1342	1004
572	1343	1001
573	1344	998
574	1346	995
575	1348	992
